Suburb,Suburb: Encoded
abbotsford,0
airport west,2
albert park,4
alphington,6
altona,7
altona north,9
armadale,11
ascot vale,12
ashburton,13
ashwood,14
avondale heights,18
balaclava,20
balwyn,21
balwyn north,22
bentleigh,29
bentleigh east,30
box hill,38
braybrook,39
brighton,41
brighton east,42
brunswick,46
brunswick west,48
bulleen,49
burwood,55
camberwell,58
canterbury,60
carlton north,62
carnegie,63
caulfield,67
caulfield north,69
caulfield south,70
chadstone,71
clifton hill,79
coburg,80
coburg north,81
collingwood,83
doncaster,104
eaglemont,109
elsternwick,112
elwood,115
essendon,119
essendon north,120
fairfield,123
fitzroy,126
fitzroy north,127
flemington,128
footscray,129
glen iris,139
glenroy,141
gowanbrae,142
hadfield,145
hampton east,147
hawthorn,149
heidelberg heights,155
heidelberg west,156
hughesdale,160
ivanhoe,163
kealba,167
keilor east,170
kensington,173
kew,174
kew east,175
kooyong,182
maidstone,190
malvern,191
malvern east,192
maribyrnong,193
melbourne,196
middle park,203
mont albert,207
moonee ponds,210
moorabbin,211
newport,220
niddrie,221
north melbourne,223
northcote,225
oak park,228
oakleigh south,231
parkville,236
pascoe vale,237
port melbourne,242
prahran,243
preston,244
reservoir,247
richmond,248
rosanna,255
seddon,264
south melbourne,268
south yarra,270
southbank,271
spotswood,272
st kilda,276
strathmore,277
sunshine north,280
sunshine west,281
surrey hills,282
templestowe lower,288
thornbury,291
toorak,292
viewbank,299
watsonia,307
west melbourne,313
williamstown,318
williamstown north,319
windsor,320
yallambie,324
yarraville,326
aberfeldie,1
bellfield,28
brunswick east,47
burnley,52
campbellfield,59
carlton,61
east melbourne,110
essendon west,121
fawkner,124
hawthorn east,150
heidelberg,154
ivanhoe east,164
jacana,165
kingsbury,179
kingsville,180
murrumbeena,217
ormond,233
west footscray,312
albion,5
brooklyn,45
glen huntly,138
oakleigh,229
ripponlea,253
cremorne,89
docklands,103
south kingsville,267
strathmore heights,278
travancore,293
caulfield east,68
seaholme,263
keilor park,172
gardenvale,134
princes hill,245
bayswater,23
bayswater north,24
beaumaris,27
berwick,31
boronia,37
briar hill,40
broadmeadows,43
bundoora,51
burnside heights,54
burwood east,56
cairnlea,57
caroline springs,64
cheltenham,74
craigieburn,85
cranbourne,86
croydon,90
dandenong,95
dandenong north,96
diamond creek,100
dingley village,102
doncaster east,105
donvale,106
doreen,107
eltham,113
epping,118
forest hill,130
frankston,131
frankston north,132
frankston south,133
gisborne,135
gladstone park,137
greensborough,143
hallam,146
healesville,151
highett,157
hillside,158
huntingdale,161
keilor downs,169
keilor lodge,171
keysborough,176
kings park,178
lalor,184
lower plenty,188
melton,197
mernda,201
mill park,204
mitcham,205
montmorency,208
mordialloc,213
mount waverley,215
narre warren,218
nunawading,227
oakleigh east,230
parkdale,235
point cook,241
ringwood east,251
rockbank,254
rowville,256
sandringham,259
seaford,262
skye,266
south morang,269
springvale,273
st albans,275
sunbury,279
tarneit,284
taylors hill,285
taylors lakes,286
the basin,289
thomastown,290
truganina,294
tullamarine,295
vermont,297
wantirna,302
wantirna south,303
werribee,310
westmeadows,314
wollert,321
wyndham vale,323
black rock,32
blackburn,33
blackburn north,34
bonbeach,36
carrum,65
chelsea,72
clayton,77
doveton,108
ferntree gully,125
glen waverley,140
greenvale,144
heathmont,153
hoppers crossing,159
mckinnon,194
melton south,198
melton west,199
mentone,200
mooroolbark,212
mulgrave,216
ringwood,250
roxburgh park,257
seabrook,261
templestowe,287
vermont south,298
warrandyte,304
watsonia north,308
wheelers hill,315
altona meadows,8
blackburn south,35
carrum downs,66
clayton south,78
croydon north,92
langwarrin,185
noble park,222
notting hill,226
ringwood north,252
sydenham,283
albanvale,3
beaconsfield upper,26
chelsea heights,73
dallas,94
deer park,97
eltham north,114
keilor,168
meadow heights,195
mount evelyn,214
north warrandyte,224
pakenham,234
riddells creek,249
sandhurst,258
scoresby,260
silvan,265
aspendale,15
chirnside park,75
croydon hills,91
croydon south,93
derrimut,99
diggers rest,101
edithvale,111
hampton park,148
knoxfield,181
upwey,296
bacchus marsh,19
coolaroo,84
cranbourne north,87
kilsyth,177
montrose,209
aspendale gardens,16
bullengarook,50
clarinda,76
delahey,98
hurstbridge,162
kurunjang,183
wonga park,322
endeavour hills,117
mickleham,202
officer,232
waterways,306
ardeer,10
beaconsfield,25
springvale south,274
yarra glen,325
brookfield,44
emerald,116
whittlesea,316
burnside,53
attwood,17
wallan,300
new gisborne,219
plumpton,240
monbulk,206
wildwood,317
plenty,239
eumemmerring,122
gisborne south,136
heatherton,152
patterson lakes,238
coldstream,82
wattle glen,309
cranbourne west,88
laverton,186
wandin north,301
lysterfield,189
lilydale,187
kalkallo,166
research,246
warranwood,305
werribee south,311
